date,state,update_time,last_check,positives_total,positives_white,positives_black,positives_latinx,positives_asian,positives_aiain,positives_nhpi,positives_multiracial,positives_other,positives_race_unknown,positives_percent_race_unknown,positives_hispanic,positives_nonhispanic,positives_ethnicity_unknown,positives_percent_ethnicity_unknown,total_deaths,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_other,deaths_race_unknown,deaths_percent_race_unknown,deaths_hispanic,deaths_nonhispanic,deaths_ethnicity_unknown,deaths_percent_ethnicity_unknown,negatives_white,negatives_black,negatives_latinx,negatives_asian,negatives_aian,negatives_nhpi,negatives_multiracial,negatives_other,negatives_race_unknown,negatives_percent_race_unknown,negatives_hispanic,negatives_nonhispanic,negatives_ethnicity_unknown,negatives_percent_ethnicity_unknown,,,,,,,,,,,,,,,,,,,
20200610,VT,6/10/20 11:53,6/10/20 23:04,1095,927,86,,36,2,,,11,33,3%,27,963,105,10%,55,52,,,2,,,,1,0,0%,0,55,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,WA,6/9/20 2:59,6/10/20 22:34,24354,6450,1104,7241,1212,240,481,314,330,6982,29%,7241,10131,6982,29%,1176,783,35,123,105,13,10,16,23,68,6%,123,985,68,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,WI,6/10/20 0:00,6/10/20 22:40,21593,11260,4101,,823,223,,,2799,2387,11%,7179,11808,2606,12%,671,458,166,,18,9,,,8,12,2%,70,585,16,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,WV,6/10/20 17:00,6/10/20 22:50,2193,1740,147,,,,,,306,0,0%,,,,,85,58,3,,,,,,,24,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200610,WY,6/10/20 16:41,6/10/20 23:22,768,393,7,92,5,255,0,,23,55,7%,92,683,55,7%,18,7,,1,,9,,,,1,6%,1,16,1,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,AK,6/5/20 0:00,6/7/20 21:45,544,327,15,,52,59,16,21,12,42,8%,43,447,54,10%,10,5,0,,2,2,1,0,0,0,0%,0,10,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,AL,6/7/20 11:00,6/7/20 21:50,20500,7572,8524,,96,,,,955,3352,16%,1907,14065,4526,22%,692,344,304,,5,,,,9,30,4%,14,598,80,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,AR,6/7/20 16:10,6/7/20 21:54,9426,4469,2725,,87,30,450,,856,809,9%,1831,7595,809,8%,154,89,48,,1,,5,,8,,0%,7,144,3,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,AS,6/1/20 0:00,6/7/20 21:56,,,,,,,,,,,100%,,,,100%,,,,,,,,,,0,100%,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,AZ,6/7/20 0:00,6/7/20 22:00,26889,5628,860,6354,269,3457,,,734,9587,36%,6354,10948,9587,36%,1044,494,30,180,13,193,,,18,116,11%,180,748,116,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,CA,6/6/20 0:00,6/7/20 22:03,128812,17486,4575,50302,7821,187,683,683,9603,37472,29%,50302,41038,37472,29%,4626,1475,439,1747,661,13,21,29,38,203,4%,1747,2676,203,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,CO,6/7/20 0:00,6/7/20 21:48,28001,9486,1610,10617,739,154,117,173,252,4849,17%,10617,12531,4849,17%,1527,947,105,306,56,7,5,9,9,78,5%,306,1138,78,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,CT,6/6/20 20:30,6/7/20 21:19,43968,15142,5714,7977,649,,,,245,14087,32%,7977,15142,14087,38%,4071,2966,611,344,44,,,,16,62,2%,344,2966,62,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,DC,6/6/20 0:00,6/7/20 21:27,9332,1392,4302,,108,26,23,,2357,1124,12%,2460,5152,1720,18%,489,53,365,59,7,,,,5,0,0%,59,430,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,DE,6/6/20 18:00,6/7/20 21:35,9942,2801,2855,2632,151,,,,497,1006,10%,2632,6304,1006,10%,398,242,105,25,1,,,,4,21,5%,25,352,21,5%,23845,11688,4499,833,,,,3085,15105,26%,4499,39451,15105,26%,,,,,,,,,,,,,,,,,,,
20200607,FL,6/7/20 10:00,6/7/20 21:30,63938,16526,12161,22678,,,,,2322,10251,16%,22678,28887,12373,19%,2700,1350,558,620,,,,,90,82,3%,620,1893,187,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,GA,6/7/20 15:36,6/7/20 21:41,51898,12949,16217,7137,752,44,39,,1060,13700,26%,7137,25905,18856,36%,2180,973,1054,93,32,3,5,,7,13,1%,93,2057,30,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,GU,6/7/20 22:00,6/7/20 21:45,179,6,,,84,,82,,4,3,2%,,,,0%,5,,,,,,,,,5,100%,,,5,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,HI,6/7/20 18:00,6/7/20 22:51,675,160,7,,236,,148,,17,107,16%,,,,,17,,,,,,,,,17,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,IA,6/7/20 0:00,6/7/20 22:03,21711,12810,2388,,1954,,,,4559,,0%,5862,12375,3473,16%,605,471,30,,30,,,,72,,0%,36,484,84,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,ID,6/6/20 19:00,6/7/20 21:28,3139,1618,58,,45,50,12,123,366,864,28%,730,1454,954,30%,83,80,1,,2,,,,,0,0%,4,79,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,IL,6/7/20 0:00,6/7/20 21:37,127757,25020,21192,40854,3663,197,320,,4623,31888,25%,40854,55015,31888,25%,5904,2573,1704,1168,279,9,5,,41,41,1%,1168,4611,125,2%,236913,69354,55272,12057,558,840,,30765,509258,56%,55272,319722,509258,58%,,,,,,,,,,,,,,,,,,,
20200607,IN,6/6/20 23:59,6/7/20 21:43,37397,16462,4941,,567,,,,6774,8653,23%,4386,12530,20481,55%,2121,1375,326,,9,,,,260,151,7%,40,1170,911,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,KS,6/5/20 13:30,6/7/20 22:07,10393,6445,1024,,653,65,,,290,1916,18%,4503,4124,1766,17%,232,158,60,,5,1,,,2,6,3%,28,193,11,5%,53106,4747,,1174,441,,,5180,41129,39%,7389,48665,49723,47%,,,,,,,,,,,,,,,,,,,
20200607,KY,6/6/20 17:00,6/7/20 22:09,11287,5628,1205,,417,16,19,452,,3550,31%,1167,6486,3634,32%,470,357,74,,8,,,9,,22,5%,13,413,44,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200607,LA,6/1/20 0:00,6/7/20 22:15,42816,,,,,,,,,42816,100%,,,42816,100%,2936,1217,1510,,21,1,2,,18,161,5%,53,2392,491,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
